12	11	11	14	16	16	14	15	112	110	113	113	21	21	18	17	13	10	8	3	2	2	0	-2	-1
12	15	14	12	13	13	15	15	111	109	112	79	22	20	17	18	9	8	6	8	1	3	3	-1	-1
12	12	11	15	13	11	15	18	110	110	108	35	39	76	112	107	57	38	8	4	2	0	2	2	2
14	9	9	15	13	8	16	18	110	110	109	50	101	107	107	105	98	87	8	5	3	2	1	1	1
13	8	9	12	12	13	17	12	108	111	109	97	108	105	102	103	97	99	8	5	3	2	0	0	1
14	12	16	9	8	11	26	103	102	101	100	22	28	82	96	99	102	101	22	11	6	0	2	0	-2
15	12	13	6	4	14	64	105	99	102	101	10	17	23	98	98	99	98	30	11	6	3	2	2	1
13	11	11	6	4	18	93	103	101	102	90	9	6	14	99	98	94	95	35	4	6	5	0	4	2
11	6	8	6	9	6	110	97	99	98	34	10	6	7	95	98	101	99	86	9	5	4	1	1	2
10	6	5	6	8	41	100	99	99	99	13	13	6	7	99	97	101	100	95	14	6	2	2	1	0
10	8	9	11	9	90	102	98	102	98	14	9	9	12	98	99	100	101	100	14	6	4	3	2	3
11	4	5	9	10	102	107	108	105	98	13	10	10	8	100	104	105	107	101	20	4	3	2	6	7
5	10	8	11	13	106	110	108	104	107	10	11	12	7	105	104	104	107	104	36	5	3	6	3	3
8	10	9	13	11	104	108	110	107	112	12	7	8	7	103	104	104	104	102	50	8	7	6	6	3
14	7	11	9	9	107	109	111	106	102	15	11	5	5	85	103	101	102	105	100	6	6	5	7	4
12	10	12	9	16	110	111	110	108	89	12	8	7	7	41	107	105	105	105	101	6	5	6	2	5
10	12	12	11	20	110	112	108	108	84	9	12	5	9	26	103	104	104	104	101	10	8	7	8	8
9	9	10	12	17	112	110	111	112	72	12	10	10	8	14	105	103	104	102	99	9	8	9	8	7
17	15	12	15	15	109	112	107	106	91	15	8	9	8	10	105	101	104	100	101	12	6	9	5	2
13	10	11	15	20	108	108	106	107	111	19	11	9	11	17	90	108	110	106	106	12	11	7	3	1
16	11	11	13	19	107	107	108	108	114	19	11	9	12	17	88	108	110	106	107	15	13	7	3	4
7	12	11	12	17	105	104	105	103	101	23	10	6	9	13	42	107	107	104	105	19	8	9	7	7
10	3	4	12	17	107	108	105	110	111	15	12	10	7	12	19	92	91	14	9	12	10	8	7	7
15	8	10	11	11	106	105	110	89	70	16	12	10	9	12	14	30	26	14	15	11	12	8	7	8
11	8	6	11	11	76	76	33	18	23	12	10	11	9	11	11	12	12	13	10	10	12	6	8	8
